Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
7b3c738d-3f86-58e3-450e-4018521d192f,2021-08-11,,999-71-7790,,,,Svetlana462,O'Hara248,,,,white,nonhispanic,F,Boston  Massachusetts  US,971 Ullrich Grove Suite 53,Boston,Massachusetts,Suffolk County,02135,42.30426037582872,-71.04526175362314,22950.91,0.0
c40c2c75-13c9-8e4a-047f-573ae1330157,2020-03-03,,999-49-5505,,,,Rosalyn434,Christiansen251,,,,white,nonhispanic,F,Lawrence  Massachusetts  US,485 Senger Route Apt 34,Waltham,Massachusetts,Middlesex County,02451,42.34043946496594,-71.2068147606253,54769.7275,2624.1225
39e76039-522c-61f1-d961-e03dce5f0bb2,1998-11-21,2003-07-17,999-36-5991,,,,Lashawnda573,Daniel959,,,,white,nonhispanic,F,North Reading  Massachusetts  US,944 Witting Passage,Everett,Massachusetts,Middlesex County,02149,42.412899775687954,-71.00928230028796,139148.275,932.745
ff981e00-4004-44b4-48ba-0bfa62440bb3,2009-07-29,,999-39-5303,,,,Ulysses632,Rice937,,,,white,nonhispanic,M,Scituate  Massachusetts  US,414 Rempel Harbor,Cohasset,Massachusetts,Norfolk County,,42.21477042737495,-70.81455296740313,339359.4699999999,90.60000000000001
648dbf91-4334-a7e2-2cfe-72e88dbd4c15,2000-12-04,,999-77-8366,S99996514,X32384432X,Mr.,Tory770,Harvey63,,,,white,hispanic,M,Boston  Massachusetts  US,368 Pouros Ramp Apt 46,Haverhill,Massachusetts,Essex County,01832,42.7792247073403,-71.05584150967614,543267.4075,2173.6425
06a0234c-08a4-b77f-a6db-8b557fbe8510,1997-03-25,,999-55-3067,S99958048,X27863767X,Ms.,Sharolyn456,Kiehn525,,,,white,nonhispanic,F,Haverhill  Massachusetts  US,934 Monahan Mission,Waltham,Massachusetts,Middlesex County,02451,42.4049948293219,-71.22271609482875,866644.3775000002,4059.8625
0d679725-4ff2-9d28-e523-956496f182cb,1973-04-20,2005-08-19,999-26-2392,S99918815,X67263243X,Mrs.,Yvonne357,Konopelski743,,Jaskolski867,M,white,nonhispanic,F,Leominster  Massachusetts  US,555 McClure Spur Unit 25,Taunton,Massachusetts,Bristol County,,41.83595845420939,-71.04196001363078,1691026.6194999996,306031.61050000007
c87c02ef-6b7a-224c-4513-1b85e19573b9,1998-11-21,,999-80-8843,S99934994,X82170075X,Ms.,Matha641,Wisozk929,,,,white,nonhispanic,F,Lowell  Massachusetts  US,1050 Jaskolski Vista,Everett,Massachusetts,Middlesex County,02149,42.475264065226504,-71.06663535712524,762900.3099999999,1482.96
950af7a9-c160-ee7d-44c8-9d336fa5b1aa,1989-10-10,,999-68-9591,S99969364,X89675236X,Mr.,Felton646,Lueilwitz711,,,S,white,nonhispanic,M,Dartmouth  Massachusetts  US,1082 Bergnaum Trail Apt 20,Duxbury,Massachusetts,Plymouth County,,41.99988746304746,-70.7207788119063,1098356.625,81069.37500000001
35e505b5-2423-26f9-9265-0e9ae83ef859,1979-08-23,,999-83-1583,S99997344,X79833652X,Mr.,Ed239,Turcotte120,,,S,black,nonhispanic,M,Boston  Massachusetts  US,439 Wyman Passage,Taunton,Massachusetts,Bristol County,02780,41.86877271326503,-71.12348744839278,1063747.5474999999,259.76249999999993
