Question,Answer,Case
EKG Hypothesis,normaal ecg,Case-19
EKG Confidence,56,Case-19
Description Hypothesis,nstemi,Case-19
Description Confidence,62,Case-19
EKG Hypothesis,nstemi,Case-17
EKG Confidence,75,Case-17
Description Hypothesis,tako tsubo danwel nstemi,Case-17
Description Confidence,58,Case-17
EKG Hypothesis,panischemie,Case-16
EKG Confidence,73,Case-16
Description Hypothesis,nstemi,Case-16
Description Confidence,68,Case-16
EKG Hypothesis,normaal ecg,Case-15
EKG Confidence,82,Case-15
Description Hypothesis,nstemi,Case-15
Description Confidence,73,Case-15
EKG Hypothesis,nstemi,Case-13
EKG Confidence,51,Case-13
Description Hypothesis,nstemi,Case-13
Description Confidence,56,Case-13
EKG Hypothesis,normaal ecg,Case-12
EKG Confidence,82,Case-12
Description Hypothesis,nstemi,Case-12
Description Confidence,49,Case-12
EKG Hypothesis,stemi,Case-09
EKG Confidence,51,Case-09
Description Hypothesis,stemi,Case-09
Description Confidence,64,Case-09
EKG Hypothesis,nstemi,Case-08
EKG Confidence,60,Case-08
Description Hypothesis,nstemi,Case-08
Description Confidence,79,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,66,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,84,Case-07
EKG Hypothesis,pericarditis,Case-03
EKG Confidence,72,Case-03
Description Hypothesis,hyperventilatie,Case-03
Description Confidence,67,Case-03
EKG Hypothesis,pericarditis,Case-02
EKG Confidence,65,Case-02
Description Hypothesis,maagklachten,Case-02
Description Confidence,79,Case-02
EKG Hypothesis,ischemie inferolateraal,Case-01
EKG Confidence,63,Case-01
Description Hypothesis,nstemi,Case-01
Description Confidence,72,Case-01
