Question,Answer,Case
EKG Hypothesis,hypertension,Case-19
EKG Confidence,47,Case-19
Description Hypothesis,iap,Case-19
Description Confidence,46,Case-19
EKG Hypothesis,"strain, short pr without pre-excitation",Case-17
EKG Confidence,78,Case-17
Description Hypothesis,angina pectoris,Case-17
Description Confidence,47,Case-17
EKG Hypothesis,"sinus tachycardia, nonspecific st changes",Case-16
EKG Confidence,70,Case-16
Description Hypothesis,iap,Case-16
Description Confidence,86,Case-16
EKG Hypothesis,normal,Case-15
EKG Confidence,100,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,86,Case-15
EKG Hypothesis,"prolonged qt, nonspecific st abnormalities",Case-13
EKG Confidence,71,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,67,Case-13
EKG Hypothesis,normal ecg,Case-12
EKG Confidence,100,Case-12
Description Hypothesis,paf,Case-12
Description Confidence,51,Case-12
EKG Hypothesis,doorgemaakt infarct.,Case-09
EKG Confidence,19,Case-09
Description Hypothesis,doorgemaakt infarct,Case-09
Description Confidence,90,Case-09
EKG Hypothesis,lvh strain.,Case-08
EKG Confidence,81,Case-08
Description Hypothesis,angina pectoris,Case-08
Description Confidence,75,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,77,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,80,Case-07
EKG Hypothesis,normal,Case-03
EKG Confidence,89,Case-03
Description Hypothesis,"aspecifieke pijn, dd hvs",Case-03
Description Confidence,100,Case-03
EKG Hypothesis,pericarditis,Case-02
EKG Confidence,75,Case-02
Description Hypothesis,maagklachten,Case-02
Description Confidence,60,Case-02
EKG Hypothesis,acs,Case-01
EKG Confidence,70,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,70,Case-01
