Question,Answer,Case
EKG Hypothesis,acs,Case-19
EKG Confidence,35,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,56,Case-19
EKG Hypothesis,strain,Case-17
EKG Confidence,58,Case-17
Description Hypothesis,functioneel,Case-17
Description Confidence,54,Case-17
EKG Hypothesis,3-vatslijden,Case-16
EKG Confidence,35,Case-16
Description Hypothesis,3-vatslijden,Case-16
Description Confidence,79,Case-16
EKG Hypothesis,functioneel,Case-15
EKG Confidence,26,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,62,Case-15
EKG Hypothesis,acs,Case-13
EKG Confidence,34,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,36,Case-13
EKG Hypothesis,functioneel,Case-12
EKG Confidence,58,Case-12
Description Hypothesis,functioneel,Case-12
Description Confidence,33,Case-12
EKG Hypothesis,acs,Case-09
EKG Confidence,53,Case-09
Description Hypothesis,acs,Case-09
Description Confidence,66,Case-09
EKG Hypothesis,nstemi,Case-08
EKG Confidence,41,Case-08
Description Hypothesis,nstemi,Case-08
Description Confidence,77,Case-08
EKG Hypothesis,acs,Case-07
EKG Confidence,23,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,66,Case-07
EKG Hypothesis,pericarditis,Case-03
EKG Confidence,37,Case-03
Description Hypothesis,hvs,Case-03
Description Confidence,35,Case-03
EKG Hypothesis,pericarditis,Case-02
EKG Confidence,36,Case-02
Description Hypothesis,dyspepsie,Case-02
Description Confidence,41,Case-02
EKG Hypothesis,nstemi,Case-01
EKG Confidence,63,Case-01
Description Hypothesis,nstemi,Case-01
Description Confidence,62,Case-01
