Question,Answer,Case
EKG Hypothesis,niet cardiaal,Case-19
EKG Confidence,51,Case-19
Description Hypothesis,nstemi,Case-19
Description Confidence,63,Case-19
EKG Hypothesis,panischemie,Case-17
EKG Confidence,59,Case-17
Description Hypothesis,panischemie,Case-17
Description Confidence,76,Case-17
EKG Hypothesis,acs,Case-16
EKG Confidence,63,Case-16
Description Hypothesis,acs,Case-16
Description Confidence,88,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,59,Case-15
Description Hypothesis,nstemi,Case-15
Description Confidence,74,Case-15
EKG Hypothesis,panischemie,Case-13
EKG Confidence,60,Case-13
Description Hypothesis,panischemie,Case-13
Description Confidence,63,Case-13
EKG Hypothesis,niet cardiaal,Case-12
EKG Confidence,72,Case-12
Description Hypothesis,stress gerelateerde klachten,Case-12
Description Confidence,77,Case-12
EKG Hypothesis,longembolie,Case-09
EKG Confidence,80,Case-09
Description Hypothesis,longembolie,Case-09
Description Confidence,95,Case-09
EKG Hypothesis,acs,Case-08
EKG Confidence,86,Case-08
Description Hypothesis,acs,Case-08
Description Confidence,92,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,57,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,91,Case-07
EKG Hypothesis,ischemie,Case-03
EKG Confidence,70,Case-03
Description Hypothesis,niet cardiaal,Case-03
Description Confidence,81,Case-03
EKG Hypothesis,acs,Case-02
EKG Confidence,58,Case-02
Description Hypothesis,gastro intestinaal,Case-02
Description Confidence,76,Case-02
EKG Hypothesis,inferolaterale ischemie,Case-01
EKG Confidence,55,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,64,Case-01
