Question,Answer,Case
EKG Hypothesis,nstemi,Case-19
EKG Confidence,48,Case-19
Description Hypothesis,nstemi,Case-19
Description Confidence,59,Case-19
EKG Hypothesis,infero-anterolateraal infarct,Case-17
EKG Confidence,51,Case-17
Description Hypothesis,infero-anterolateraal infarct,Case-17
Description Confidence,61,Case-17
EKG Hypothesis,panischemie,Case-16
EKG Confidence,65,Case-16
Description Hypothesis,hoofdstamstenose,Case-16
Description Confidence,97,Case-16
EKG Hypothesis,nstemi,Case-15
EKG Confidence,49,Case-15
Description Hypothesis,nstemi,Case-15
Description Confidence,64,Case-15
EKG Hypothesis,mitralisinsufficientie,Case-13
EKG Confidence,68,Case-13
Description Hypothesis,nstemi (met mitralisklepruptuur),Case-13
Description Confidence,68,Case-13
EKG Hypothesis,niet cardiaal,Case-12
EKG Confidence,37,Case-12
Description Hypothesis,paroxysmaal af,Case-12
Description Confidence,77,Case-12
EKG Hypothesis,tamponade,Case-09
EKG Confidence,48,Case-09
Description Hypothesis,pericarditis met pericardeffusie,Case-09
Description Confidence,97,Case-09
EKG Hypothesis,subendocardiale ischemie,Case-08
EKG Confidence,51,Case-08
Description Hypothesis,angina pectoris,Case-08
Description Confidence,51,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,49,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,96,Case-07
EKG Hypothesis,acuut inferolateraal infarct,Case-03
EKG Confidence,97,Case-03
Description Hypothesis,gastro-esofageale reflux,Case-03
Description Confidence,56,Case-03
EKG Hypothesis,acuut onderwandinfarct,Case-02
EKG Confidence,66,Case-02
Description Hypothesis,pericarditis,Case-02
Description Confidence,97,Case-02
EKG Hypothesis,doorgemaakt onderwandinfarct,Case-01
EKG Confidence,94,Case-01
Description Hypothesis,restenose rca,Case-01
Description Confidence,52,Case-01
