Question,Answer,Case
EKG Hypothesis,copd,Case-19
EKG Confidence,31,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,66,Case-19
EKG Hypothesis,acs,Case-17
EKG Confidence,53,Case-17
Description Hypothesis,functional,Case-17
Description Confidence,29,Case-17
EKG Hypothesis,"acs ,",Case-16
EKG Confidence,54,Case-16
Description Hypothesis,acs,Case-16
Description Confidence,65,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,49,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,53,Case-15
EKG Hypothesis,la dilation,Case-13
EKG Confidence,53,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,61,Case-13
EKG Hypothesis,acs,Case-12
EKG Confidence,42,Case-12
Description Hypothesis,functional,Case-12
Description Confidence,52,Case-12
EKG Hypothesis,le,Case-09
EKG Confidence,63,Case-09
Description Hypothesis,le,Case-09
Description Confidence,51,Case-09
EKG Hypothesis,acs,Case-08
EKG Confidence,42,Case-08
Description Hypothesis,acs,Case-08
Description Confidence,62,Case-08
EKG Hypothesis,acs,Case-07
EKG Confidence,86,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,82,Case-07
EKG Hypothesis,acs,Case-03
EKG Confidence,48,Case-03
Description Hypothesis,functional,Case-03
Description Confidence,47,Case-03
EKG Hypothesis,acs,Case-02
EKG Confidence,61,Case-02
Description Hypothesis,gerd,Case-02
Description Confidence,59,Case-02
EKG Hypothesis,acs,Case-01
EKG Confidence,50,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,48,Case-01
