Question,Answer,Case
EKG Hypothesis,acs,Case-19
EKG Confidence,80,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,72,Case-19
EKG Hypothesis,acs,Case-17
EKG Confidence,80,Case-17
Description Hypothesis,hyperventilation,Case-17
Description Confidence,61,Case-17
EKG Hypothesis,acs 3vd,Case-16
EKG Confidence,89,Case-16
Description Hypothesis,acs,Case-16
Description Confidence,80,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,90,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,89,Case-15
EKG Hypothesis,acs,Case-13
EKG Confidence,90,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,81,Case-13
EKG Hypothesis,transient tachycardia,Case-12
EKG Confidence,60,Case-12
Description Hypothesis,afib,Case-12
Description Confidence,50,Case-12
EKG Hypothesis,acs,Case-09
EKG Confidence,84,Case-09
Description Hypothesis,acs,Case-09
Description Confidence,75,Case-09
EKG Hypothesis,acs,Case-08
EKG Confidence,90,Case-08
Description Hypothesis,acs,Case-08
Description Confidence,70,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,91,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,50,Case-07
EKG Hypothesis,tendomyogenic,Case-03
EKG Confidence,85,Case-03
Description Hypothesis,tendomyogenic,Case-03
Description Confidence,85,Case-03
EKG Hypothesis,gastrointestinal,Case-02
EKG Confidence,65,Case-02
Description Hypothesis,gastrointestinal,Case-02
Description Confidence,85,Case-02
EKG Hypothesis,nstemi,Case-01
EKG Confidence,85,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,60,Case-01
