Question,Answer,Case
EKG Hypothesis,ip infarct doorgemaakt,Case-19
EKG Confidence,62,Case-19
Description Hypothesis,iap,Case-19
Description Confidence,68,Case-19
EKG Hypothesis,iap,Case-17
EKG Confidence,66,Case-17
Description Hypothesis,le,Case-17
Description Confidence,33,Case-17
EKG Hypothesis,ap,Case-16
EKG Confidence,42,Case-16
Description Hypothesis,ap,Case-16
Description Confidence,44,Case-16
EKG Hypothesis,iap,Case-15
EKG Confidence,50,Case-15
Description Hypothesis,iap,Case-15
Description Confidence,61,Case-15
EKG Hypothesis,svt,Case-13
EKG Confidence,51,Case-13
Description Hypothesis,ap,Case-13
Description Confidence,64,Case-13
EKG Hypothesis,av blok,Case-12
EKG Confidence,66,Case-12
Description Hypothesis,av blok,Case-12
Description Confidence,62,Case-12
EKG Hypothesis,lateraal doorgemaakt infarct,Case-09
EKG Confidence,100,Case-09
Description Hypothesis,iap,Case-09
Description Confidence,82,Case-09
EKG Hypothesis,prox lad,Case-08
EKG Confidence,100,Case-08
Description Hypothesis,ap,Case-08
Description Confidence,89,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,100,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,83,Case-07
EKG Hypothesis,myalgeen,Case-03
EKG Confidence,60,Case-03
Description Hypothesis,myalgeen,Case-03
Description Confidence,63,Case-03
EKG Hypothesis,reflux,Case-02
EKG Confidence,50,Case-02
Description Hypothesis,reflux,Case-02
Description Confidence,79,Case-02
EKG Hypothesis,nstemi,Case-01
EKG Confidence,49,Case-01
Description Hypothesis,reflux,Case-01
Description Confidence,36,Case-01
