Question,Answer,Case
EKG Hypothesis,acs,Case-19
EKG Confidence,33,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,46,Case-19
EKG Hypothesis,acs,Case-17
EKG Confidence,41,Case-17
Description Hypothesis,acs,Case-17
Description Confidence,16,Case-17
EKG Hypothesis,acs,Case-16
EKG Confidence,55,Case-16
Description Hypothesis,acs,Case-16
Description Confidence,25,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,48,Case-15
Description Hypothesis,acs,Case-15
Description Confidence,62,Case-15
EKG Hypothesis,acs,Case-13
EKG Confidence,41,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,42,Case-13
EKG Hypothesis,.,Case-12
EKG Confidence,35,Case-12
Description Hypothesis,af,Case-12
Description Confidence,51,Case-12
EKG Hypothesis,acs,Case-09
EKG Confidence,56,Case-09
Description Hypothesis,acs,Case-09
Description Confidence,49,Case-09
EKG Hypothesis,acs,Case-08
EKG Confidence,49,Case-08
Description Hypothesis,acs,Case-08
Description Confidence,60,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,38,Case-07
Description Hypothesis,tendomyogeen,Case-07
Description Confidence,23,Case-07
EKG Hypothesis,tendomyogeen,Case-03
EKG Confidence,41,Case-03
Description Hypothesis,tendomyogeen,Case-03
Description Confidence,35,Case-03
EKG Hypothesis,gastritis,Case-02
EKG Confidence,57,Case-02
Description Hypothesis,gastritis,Case-02
Description Confidence,33,Case-02
EKG Hypothesis,nstemi,Case-01
EKG Confidence,39,Case-01
Description Hypothesis,reflux,Case-01
Description Confidence,27,Case-01
