Question,Answer,Case
EKG Hypothesis,nste-acs,Case-19
EKG Confidence,75,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,61,Case-19
EKG Hypothesis,tako tsubo,Case-17
EKG Confidence,61,Case-17
Description Hypothesis,stress,Case-17
Description Confidence,50,Case-17
EKG Hypothesis,nste-acs panischemie,Case-16
EKG Confidence,80,Case-16
Description Hypothesis,iap,Case-16
Description Confidence,50,Case-16
EKG Hypothesis,nste-acs,Case-15
EKG Confidence,52,Case-15
Description Hypothesis,infarct,Case-15
Description Confidence,61,Case-15
EKG Hypothesis,ap,Case-13
EKG Confidence,60,Case-13
Description Hypothesis,ap,Case-13
Description Confidence,61,Case-13
EKG Hypothesis,reflux,Case-12
EKG Confidence,70,Case-12
Description Hypothesis,reflux,Case-12
Description Confidence,40,Case-12
EKG Hypothesis,stemi,Case-09
EKG Confidence,90,Case-09
Description Hypothesis,nste-acs,Case-09
Description Confidence,50,Case-09
EKG Hypothesis,nste-acs,Case-08
EKG Confidence,70,Case-08
Description Hypothesis,iap,Case-08
Description Confidence,65,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,90,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,70,Case-07
EKG Hypothesis,hyperventilatie,Case-03
EKG Confidence,70,Case-03
Description Hypothesis,hyperventilatie,Case-03
Description Confidence,62,Case-03
EKG Hypothesis,pyrosis/reflux,Case-02
EKG Confidence,70,Case-02
Description Hypothesis,pyrosis,Case-02
Description Confidence,59,Case-02
EKG Hypothesis,nste-acs,Case-01
EKG Confidence,60,Case-01
Description Hypothesis,nste-acs,Case-01
Description Confidence,43,Case-01
