Question,Answer,Case
EKG Hypothesis,acs,Case-19
EKG Confidence,35,Case-19
Description Hypothesis,acs,Case-19
Description Confidence,63,Case-19
EKG Hypothesis,acs,Case-17
EKG Confidence,72,Case-17
Description Hypothesis,stress,Case-17
Description Confidence,20,Case-17
EKG Hypothesis,pericarditis,Case-16
EKG Confidence,13,Case-16
Description Hypothesis,acs,Case-16
Description Confidence,36,Case-16
EKG Hypothesis,acs,Case-15
EKG Confidence,35,Case-15
Description Hypothesis,nstemi,Case-15
Description Confidence,51,Case-15
EKG Hypothesis,acs,Case-13
EKG Confidence,23,Case-13
Description Hypothesis,acs,Case-13
Description Confidence,23,Case-13
EKG Hypothesis,nstemi,Case-12
EKG Confidence,0,Case-12
Description Hypothesis,ritme/geleiding,Case-12
Description Confidence,10,Case-12
EKG Hypothesis,infarct,Case-09
EKG Confidence,16,Case-09
Description Hypothesis,costomyalgeen,Case-09
Description Confidence,12,Case-09
EKG Hypothesis,pericarditis,Case-08
EKG Confidence,52,Case-08
Description Hypothesis,pericarditis,Case-08
Description Confidence,89,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,50,Case-07
Description Hypothesis,costomyalgeen,Case-07
Description Confidence,34,Case-07
EKG Hypothesis,costomyalgeen,Case-03
EKG Confidence,33,Case-03
Description Hypothesis,costomyalgeen,Case-03
Description Confidence,35,Case-03
EKG Hypothesis,reflex,Case-02
EKG Confidence,50,Case-02
Description Hypothesis,pyrosis,Case-02
Description Confidence,70,Case-02
EKG Hypothesis,nstemi,Case-01
EKG Confidence,25,Case-01
Description Hypothesis,reflux,Case-01
Description Confidence,38,Case-01
