Question,Answer,Case
EKG Hypothesis,iap,Case-19
EKG Confidence,79,Case-19
Description Hypothesis,iap,Case-19
Description Confidence,76,Case-19
EKG Hypothesis,ap,Case-17
EKG Confidence,18,Case-17
Description Hypothesis,oesofagus spasme,Case-17
Description Confidence,62,Case-17
EKG Hypothesis,ap,Case-16
EKG Confidence,68,Case-16
Description Hypothesis,ap,Case-16
Description Confidence,73,Case-16
EKG Hypothesis,iap,Case-15
EKG Confidence,59,Case-15
Description Hypothesis,iap,Case-15
Description Confidence,64,Case-15
EKG Hypothesis,tendomyalgeen,Case-13
EKG Confidence,66,Case-13
Description Hypothesis,tendomyalgeen,Case-13
Description Confidence,64,Case-13
EKG Hypothesis,hvs,Case-12
EKG Confidence,90,Case-12
Description Hypothesis,hvs,Case-12
Description Confidence,79,Case-12
EKG Hypothesis,pneumonie,Case-09
EKG Confidence,62,Case-09
Description Hypothesis,pneumonie,Case-09
Description Confidence,74,Case-09
EKG Hypothesis,ap,Case-08
EKG Confidence,77,Case-08
Description Hypothesis,ap,Case-08
Description Confidence,71,Case-08
EKG Hypothesis,pericarditis,Case-07
EKG Confidence,98,Case-07
Description Hypothesis,pericarditis,Case-07
Description Confidence,66,Case-07
EKG Hypothesis,tendomyalgeen,Case-03
EKG Confidence,86,Case-03
Description Hypothesis,tendomyalgeen,Case-03
Description Confidence,64,Case-03
EKG Hypothesis,gastro esofagaal,Case-02
EKG Confidence,73,Case-02
Description Hypothesis,gastro-esofagaal,Case-02
Description Confidence,77,Case-02
EKG Hypothesis,acs,Case-01
EKG Confidence,48,Case-01
Description Hypothesis,acs,Case-01
Description Confidence,64,Case-01
