Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
9d0ab1c5-7394-3c6a-81d1-2ca78155defd,6b57af4a-5757-31a8-9916-5744531df0ad,Chauncey770 Schoen8,M,GENERAL PRACTICE,3260 HOSPITAL DR,JUNEAU,AK,99801,58.643523,-134.28116699999998,74398
edde2277-4900-32ac-8e44-36632d9261e5,f77fd989-36eb-3782-bc6a-af621145e22a,Rico947 Hegmann834,M,GENERAL PRACTICE,709 West 9th Street  Suite 150,Juneau,AK,99801,58.301617,-134.4209,4315
bc6cabae-861d-3563-b162-dac17794cab4,05f8f781-5f80-3311-9554-682fdc24cc4a,Eilene124 Schmitt836,F,GENERAL PRACTICE,9000 GLACIER HWY,JUNEAU,AK,99801-8097,58.3727,-134.17878100000001,777
89aafb84-4feb-37a0-914e-e44d1e154f0b,81a2bd9a-1c41-3055-b5f1-a60d02ec9cc5,Twanda979 Reichert620,F,GENERAL PRACTICE,8800 GLACIER HWY,JUNEAU,AK,99801-8079,58.3727,-134.17878100000001,938
590dd067-482a-3b98-87ef-cb982613b7f9,9ccac7f4-022d-31a8-a465-4215cdc14707,Mickey576 Streich926,M,GENERAL PRACTICE,2231 JORDAN AVE,JUNEAU,AK,99801-8050,58.3727,-134.17878100000001,679
0a24e43e-4774-3322-8f8c-9be2200afdb7,564433e6-4be0-3587-997d-73f5025e255b,Renato359 Simonis280,M,GENERAL PRACTICE,2205 N JORDAN AVE,JUNEAU,AK,99801-8050,58.3727,-134.17878100000001,868
393e5f14-7996-3bf1-84a7-7a868a5b59ca,e01724eb-81db-32d5-b409-3065502b09d6,Darren774 Kirlin939,M,GENERAL PRACTICE,10301 GLACIER HWY 100,JUNEAU,AK,99801-8561,58.3727,-134.17878100000001,282
dd03e9b9-83d7-3f8a-b227-1284a3948956,b551892a-98ea-3fd2-b125-24282f48e701,Maura912 Littel644,F,GENERAL PRACTICE,3260 HOSPITAL DR,JUNEAU,AK,99801-7808,58.3727,-134.17878100000001,595
8a96ee37-81bd-3384-a5e6-5174f24fa3bc,2e4ce585-5e2d-3116-b35f-36204d7c82df,Danielle72 Stamm704,F,GENERAL PRACTICE,9309 GLACIER HWY,JUNEAU,AK,99801-9300,58.3727,-134.17878100000001,861
2d473abd-ca82-3d29-b456-090771fa2f7d,64f03fc6-ec69-36f7-aa39-07556ee101b2,Lenna704 Larson43,F,GENERAL PRACTICE,641 W WILLOUGHBY AVE,JUNEAU,AK,99801-1748,58.3727,-134.17878100000001,352
