Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
623336a5-3e7b-57c7-dbd3-b77434c1e1c7,2022-04-22,,999-59-7348,,,,Jesse626,Rowe323,,,,white,nonhispanic,M,Valdez  Alaska  US,405 Rempel Trace Apt 26,Juneau,Alaska,Juneau City and Borough,,58.273878436290076,-134.36779055530556,2676.14,0.0
bb37561b-ba65-7c47-db5b-0641bca883b4,2012-02-08,,999-16-2180,,,,Noah480,Leffler128,,,,white,nonhispanic,M,Anchorage  Alaska  US,823 Sauer Manor Unit 30,Juneau,Alaska,Juneau City and Borough,,58.36334563617582,-134.21564953658546,269257.17,8385.54
62fc8f1c-cbca-4143-bcda-8075dd42eaf0,2009-09-07,,999-89-5507,,,,Woodrow571,Koepp521,,,,white,nonhispanic,M,College  Alaska  US,365 Rice Landing,Juneau,Alaska,Juneau City and Borough,99801,58.37697712857532,-134.16965480987716,321548.1125,3862.0874999999996
678fc07c-1cb1-acc6-3553-d848200626e9,2006-02-11,,999-92-8411,S99990200,,,Odessa199,Pfannerstill264,,,,white,nonhispanic,F,Anchorage  Alaska  US,1001 Grimes Bay,Juneau,Alaska,Juneau City and Borough,99801,58.3644560525976,-134.15105674081732,398085.56000000006,43.91999999999996
f69179a2-a513-c31a-3756-42ebabd3e6b2,1995-11-20,,999-41-1581,S99944700,X29553303X,Mr.,Jerald662,Lubowitz58,,,,hawaiian,nonhispanic,M,Anchorage  Alaska  US,884 Cassin Well,Juneau,Alaska,Juneau City and Borough,,58.392052151207714,-134.20223214276857,671864.6699999999,1545.54
95c6efde-dd93-2dab-ca7c-2b048da92f9a,1991-06-12,,999-64-7240,S99951681,X22255712X,Mr.,Jonathan639,Rohan584,,,M,white,nonhispanic,M,Anchorage  Alaska  US,436 Wilderman Overpass,Juneau,Alaska,Juneau City and Borough,99824,58.63523784540572,-134.32838775950577,780438.0175,11570.0925
63f4e6de-bc2d-a760-60f1-6f3c2576bc07,1998-05-09,,999-34-2062,S99991799,X34698901X,Ms.,Amiee221,Daniel959,,,,white,nonhispanic,F,Meadow Lakes  Alaska  US,377 Rath Ville Suite 38,Juneau,Alaska,Juneau City and Borough,99824,58.42286509044741,-134.1912213915137,2508830.9159999983,291034.364
72bb9c05-6ef9-c8eb-fde2-23f946bec931,2005-02-20,,999-62-5461,S99946571,,,Bette450,Larkin917,,,,white,nonhispanic,F,Anchorage  Alaska  US,264 Schuppe Trailer Apt 13,Juneau,Alaska,Juneau City and Borough,,58.68152060603472,-134.24612248555894,461991.09249999997,2741.7975
2ab97182-0a31-8db3-3370-c025916b2526,1984-07-15,,999-52-9784,S99967308,X32379303X,Mrs.,Jason347,Hilpert278,,Bernhard322,M,white,nonhispanic,F,Tanaina  Alaska  US,911 Bartoletti Bay Suite 66,Juneau,Alaska,Juneau City and Borough,99801,58.24523056991243,-134.39355611380802,1418589.375,15081.435000000001
27c542e6-abba-f017-8a0d-24fc327ae9b8,1984-04-06,,999-50-8868,S99913891,X5473487X,Mrs.,Lovie151,Hoppe518,,O'Kon634,M,white,nonhispanic,F,Trapper Creek  Alaska  US,382 Turner Ferry,Juneau,Alaska,Juneau City and Borough,99801,58.32386029656052,-134.18658708999726,2068222.4035,174901.7265
